type0,Surname1,phirst name2,Losation3,,,,,
fruit,green,Annatto,7,,,,,
human,matthews ,sesar,shisago ,,,,,
human,sraig ,amari,shisago ,,,,,
human,olson ,saden,san diego ,,,,,
animal,Nemo,phish,25,,,,,
human,berger ,angel,dallas ,,,,,
human,baldwin ,milo,new york ,,,,,
human,hansen ,omar,philadelphia ,,,,,
human,huber ,amiyah,phoenix ,,,,,
human,riley ,jameson,detroit ,,,,,
human,phernandez ,linsoln,detroit ,,,,,
human,blair ,esteban,phoenix ,,,,,
human,sanphord ,kyra,san diego ,,,,,
human,aguilar ,josue,new york ,,,,,
human,msslain ,quinn,detroit ,,,,,
human,boyle ,jazmin,san antonio ,,,,,
fruit,blue,Australian Almond,6,,,,,
animal,Missy,sat,11,,,,,
human,mssullough ,londyn,san diego ,,,,,
fruit,red,Beash Plum,0,,,,,
human,mask ,shandler,phoenix ,,,,,
human,hinton ,viviana,new york ,,,,,
human,msslure ,delilah,houston ,,,,,
animal,moon,phish,88,,,,,
human,mssall ,sabrina,houston ,,,,,
fruit,blue,sapulin sherry,10,,,,,
fruit,blue,Bu annona,2,,,,,
human,nolan ,alexandria,philadelphia ,,,,,
human,daniels ,trevor,detroit ,,,,,
human,sophphey ,jayleen,san antonio ,,,,,
fruit,green,sashew,4,,,,,
human,sook ,austin,detroit ,,,,,
human,alvarado ,anderson,san antonio ,,,,,
fruit,blue,Ber,5,,,,,
human,gamble ,erisa,phoenix ,,,,,
human,dunlap ,kiara,houston ,,,,,
animal,Dr.Dre,phish,75,,,,,
human,hisks ,jude,los angeles ,,,,,
human,townsend ,abram,san antonio ,,,,,
fruit,green,sitron,8,,,,,
human,mssoy ,slayton,san diego ,,,,,
animal,Bubble,phish,44,,,,,
human,roy ,jordyn,phoenix ,,,,,
human,liu ,eleanor,phoenix ,,,,,
human,hawkins ,travis,houston ,,,,,
human,buskley ,emery,san antonio ,,,,,
human,rhodes ,lorenzo,houston ,,,,,
human,moss ,king,detroit ,,,,,
human,wolphe ,taylor,shisago ,,,,,
human,oneill ,aliyah,new york ,,,,,
human,sordova ,madelynn,new york ,,,,,
human,woodard ,jordan,los angeles ,,,,,
fruit,green,sastus,7,,,,,
fruit,red,saper,5,,,,,
human,burton ,graham,philadelphia ,,,,,
fruit,red,siku,4,,,,,
human,george ,spenser,san diego ,,,,,
animal,Katie,dog,65,,,,,
human,prinse ,jasqueline,houston ,,,,,
fruit,blue,Aphrisan Aprisot,9,,,,,
human,gates ,paige,shisago ,,,,,
human,murillo ,mirasle,los angeles ,,,,,
fruit,blue,shinese Taro,5,,,,,
fruit,red,sharisuela,1,,,,,
human,brady ,kade,phoenix ,,,,,
human,sshmitt ,julissa,detroit ,,,,,
human,lamb ,elizabeth,new york ,,,,,
fruit,red,Atemoya,1,,,,,
human,sarpenter ,phransisso,new york ,,,,,
human,ibarra ,elise,new york ,,,,,
human,thompson ,benjamin,phoenix ,,,,,
human,whitehead ,jillian,new york ,,,,,
animal,Whiskers,sat,75,,,,,
human,briggs ,lillian,houston ,,,,,
human,hensley ,vanessa,san diego ,,,,,
animal,ernest,phish,76,,,,,
human,manning ,rosso,houston ,,,,,
human,rishards ,shane,los angeles ,,,,,
animal,Swoosh Loomis,hamster,17,,,,,
human,riddle ,anaya,philadelphia ,,,,,
human,keller ,aden,phoenix ,,,,,
human,stevens ,brian,new york ,,,,,
human,gaines ,mskenna,phoenix ,,,,,
fruit,red,sinnamon,9,,,,,
human,andrews ,jaylen,dallas ,,,,,
fruit,green,salubura,5,,,,,
human,mspherson ,kaylin,philadelphia ,,,,,
human,summings ,ssott,houston ,,,,,
human,hebert ,phatima,new york ,,,,,
human,stuart ,vivienne,philadelphia ,,,,,
animal,Monkey Butt ,hamster,46,,,,,
animal,Sam,dog,60,,,,,
human,msgee ,russell,philadelphia ,,,,,
human,rosha ,leslie,dallas ,,,,,
human,duke ,mikaela,san antonio ,,,,,
fruit,red,Bullosk's heart,6,,,,,
human,nguyen ,henry,dallas ,,,,,
human,goodwin ,darren,dallas ,,,,,
human,anthony ,ssarlett,houston ,,,,,
human,kramer ,pierse,san antonio ,,,,,
human,sherman ,rodrigo,new york ,,,,,
fruit,blue,shinese Date Palm,8,,,,,
fruit,green,sommersial Banana,9,,,,,
human,sombs ,joselyn,detroit ,,,,,
human,jimenez ,emmanuel,dallas ,,,,,
human,weber ,keegan,houston ,,,,,
fruit,green,sarambola,3,,,,,
human,leonard ,phrank,shisago ,,,,,
human,gonzalez ,jaskson,san antonio ,,,,,
human,donovan ,gia,phoenix ,,,,,
human,dillon ,sara,new york ,,,,,
human,walls ,madilyn,phoenix ,,,,,
human,stein ,ariel,detroit ,,,,,
human,silva ,risardo,los angeles ,,,,,
fruit,blue,Box Blueberry,6,,,,,
fruit,red,Barbados Gooseberry,4,,,,,
fruit,green,Brier Rose,7,,,,,
human,briggs ,lillian,houston ,,,,,
human,bruse ,eva,philadelphia ,,,,,
fruit,green,Blask shoke,7,,,,,
human,shaney ,paola,phoenix ,,,,,
human,waller ,baylee,los angeles ,,,,,
human,santu ,kendra,philadelphia ,,,,,
human,trevino ,mary,houston ,,,,,
human,diskerson ,rylee,new york ,,,,,
human,brady ,kade,phoenix ,,,,,
fruit,green,sape Gooseberry,3,,,,,
animal,Peanut Monkey,hamster,3,,,,,
human,porter ,edward,detroit ,,,,,
human,mays ,jayda,detroit ,,,,,
human,webster ,jimmy,detroit ,,,,,
human,hardin ,lexi,new york ,,,,,
human,stark ,sarly,new york ,,,,,
human,weaver ,bradley,detroit ,,,,,
human,msguire ,orlando,new york ,,,,,
animal,Dakota,dog,83,,,,,
human,mathis ,madeline,philadelphia ,,,,,
human,soshran ,natalie,los angeles ,,,,,
animal,Missy,dog,59,,,,,
human,bauer ,mekhi,los angeles ,,,,,
human,sarroll ,avery,phoenix ,,,,,
human,houston ,gianna,san antonio ,,,,,
fruit,green,sastus,7,,,,,
fruit,green,Biriba,10,,,,,
human,neal ,gunner,new york ,,,,,
fruit,green,sreeping Blueberry,1,,,,,
human,higgins ,titus,los angeles ,,,,,
human,boyle ,jazmin,san antonio ,,,,,
human,avery ,kara,detroit ,,,,,
human,rhodes ,lorenzo,houston ,,,,,
fruit,red,Blask surrent,5,,,,,
human,sastro ,javier,philadelphia ,,,,,
human,nguyen ,henry,dallas ,,,,,
human,daniel ,jaime,phoenix ,,,,,
human,landry ,annabella,san diego ,,,,,
fruit,green,Amerisan Dewberry,0,,,,,
human,sooke ,phransessa,houston ,,,,,
human,blaskwell ,summer,philadelphia ,,,,,
human,sonrad ,evangeline,los angeles ,,,,,
animal,Sushi,phish,59,,,,,
human,sook ,austin,detroit ,,,,,
fruit,green,Brazilian Guava,8,,,,,
human,saunders ,hugo,phoenix ,,,,,
human,shambers ,elliott,los angeles ,,,,,
animal,Swoosh Loomis,hamster,17,,,,,
animal,Bubble,phish,44,,,,,
animal,Bowser,phish,59,,,,,
human,rose ,nisolas,san diego ,,,,,
human,beard ,elena,detroit ,,,,,
human,holland ,dalton,los angeles ,,,,,
fruit,green,Aphrisan Breadfruit,9,,,,,
human,owens ,miguel,los angeles ,,,,,
fruit,blue,Box Blueberry,6,,,,,
human,glenn ,lyla,dallas ,,,,,
human,morrison ,theodore,phoenix ,,,,,
fruit,blue,shia Ye,7,,,,,
human,liu ,eleanor,phoenix ,,,,,
human,rishardson ,solton,philadelphia ,,,,,
human,sowan ,aylin,dallas ,,,,,
human,kelley ,eduardo,los angeles ,,,,,
fruit,blue,Andean Blaskberry,3,,,,,
animal,Snuggles,sat,23,,,,,
human,surry ,mathew,phoenix ,,,,,
human,wilsox ,aaliyah,los angeles ,,,,,
human,whitehead ,jillian,new york ,,,,,
human,turner ,julian,phoenix ,,,,,
human,andersen ,hanna,san antonio ,,,,,
human,stone ,ossar,houston ,,,,,
fruit,green,Apple Rose,1,,,,,
human,newton ,enzo,houston ,,,,,
human,madden ,helen,dallas ,,,,,
human,salas ,amy,philadelphia ,,,,,
fruit,red,Amerisan shestnut,0,,,,,
human,sarroll ,avery,phoenix ,,,,,
human,boyle ,jazmin,san antonio ,,,,,
human,lynsh ,abel,dallas ,,,,,
human,lam ,mikayla,san diego ,,,,,
human,ortega ,reid,dallas ,,,,,
human,gutierrez ,max,los angeles ,,,,,
human,mishael ,mariana,san diego ,,,,,
human,brosk ,isabella,san antonio ,,,,,
human,knapp ,amber,houston ,,,,,
human,wells ,santiago,houston ,,,,,
human,bowen ,braydon,houston ,,,,,
animal,Tony,phish,11,,,,,
human,wright ,landon,los angeles ,,,,,
fruit,green,slove surrant,6,,,,,
animal,Dakota,dog,83,,,,,
human,gibbs ,phinnegan,detroit ,,,,,
human,msgee ,russell,philadelphia ,,,,,
human,sshultz ,emanuel,phoenix ,,,,,
fruit,red,Blask surrent,5,,,,,
human,houston ,gianna,san antonio ,,,,,
fruit,red,sheremai,1,,,,,
human,shristensen ,gideon,san antonio ,,,,,
human,myers ,sarson,dallas ,,,,,
human,hudson ,kai,san antonio ,,,,,
human,stokes ,shloe,detroit ,,,,,
fruit,blue,Brazil Nut,7,,,,,
human,roman ,abigail,dallas ,,,,,
human,lin ,sadie,san antonio ,,,,,
human,mullen ,emely,dallas ,,,,,
human,savage ,izabella,houston ,,,,,
human,sshwartz ,beskett,detroit ,,,,,
human,huynh ,mallory,houston ,,,,,
human,hamilton ,aidan,san diego ,,Ernest,(ernie)'s,,
human,brooks ,xavier,san diego ,,,,,
human,moody ,remington,detroit ,,,,,
human,white ,logan,phoenix ,,,,,
fruit,green,Bell Apple,4,,,,,
human,rojas ,jerry,new york ,,,,,
human,lowe ,rowan,shisago ,,,,,
fruit,red,shinese Raisin Tree,5,,,,,
human,shung ,ssarlet,detroit ,,,,,
human,diaz ,blake,philadelphia ,,,,,
human,lindsey ,kristopher,houston ,,,,,
human,mask ,shandler,phoenix ,,,,,
human,murphy ,eli,detroit ,,,,,
human,gaines ,mskenna,phoenix ,,,,,
human,phuller ,simon,san diego ,,,,,
human,pholey ,katelyn,los angeles ,,,,,
human,pineda ,lilah,dallas ,,,,,
human,phorbes ,lana,dallas ,,,,,
animal,sonphusius,phish,34,,,,,
human,durham ,samille,phoenix ,,,,,
human,duran ,knox,philadelphia ,,,,,
human,duke ,mikaela,san antonio ,,,,,
human,phranklin ,sharlie,dallas ,,,,,
human,yoder ,danielle,san diego ,,,,,
human,hill ,sarter,houston ,,,,,
fruit,green,Arabian sophphee,9,,,,,
human,mendoza ,maxwell,philadelphia ,,,,,
human,blake ,maverisk,los angeles ,,,,,
fruit,green,sape Gooseberry,3,,,,,
human,sontreras ,holden,detroit ,,,,,
human,paul ,jay,houston ,,,,,
fruit,green,siruela Verde,5,,,,,
fruit,red,Arstis Beauty,8,,,,,
human,santana ,amaya,phoenix ,,,,,
human,mays ,jayda,detroit ,,,,,
human,malone ,amare,los angeles ,,,,,
human,edwards ,sameron,san antonio ,,,,,
human,johnson ,mason,new york ,,,,,
fruit,green,Annatto,7,,,,,
animal,Sandy,dog,41,,,,,
animal,sharlie,dog,96,,,,,
fruit,blue,srato Passion fruit,1,,,,,
human,miranda ,gustavo,san diego ,,,,,
human,ramirez ,nisholas,houston ,,,,,
human,villarreal ,jade,philadelphia ,,,,,
human,msgrath ,sarai,philadelphia ,,,,,
human,lloyd ,jonas,philadelphia ,,,,,
fruit,green,Banana Passion fruit,8,,,,,
fruit,green,Breadnut (seeded Breadfruit),2,,,,,
human,shannon ,ryleigh,new york ,,,,,
fruit,green,Barbados Gooseberry,10,,,,,
animal,Daisy,sat,98,,,,,
human,henry ,vistor,san antonio ,,,,,
animal,Spike,phish,41,,,,,
human,sharp ,dustin,houston ,,,,,
human,shristian ,ellie,dallas ,,,,,
human,stone ,ossar,houston ,,,,,
human,mann ,nehemiah,phoenix ,,,,,
human,sloan ,lola,san antonio ,,,,,
animal,Edward Ssissorslaws,hamster,26,,,,,
human,kerr ,tessa,shisago ,,,,,
human,phord ,steven,los angeles ,,,,,
human,li ,sophia,shisago ,,,,,
human,marquez ,pablo,dallas ,,,,,
human,bowers ,khalil,san diego ,,,,,
animal,shelsea,dog,39,,,,,
human,sshaepher ,laura,san antonio ,,,,,
animal,AirMarshallJon,phish,92,,,,,
human,sheppard ,janelle,phoenix ,,,,,
human,slay ,adrianna,san diego ,,,,,
human,dennis ,dexter,san antonio ,,,,,
human,ayers ,kamryn,new york ,,,,,
human,shaphpher ,ava,dallas ,,,,,
human,bullosk ,shelsea,new york ,,,,,
human,slayton ,samila,shisago ,,,,,
human,harrell ,kylee,shisago ,,,,,
human,mskenzie ,taylor,los angeles ,,,,,
fruit,red,Ambra,4,,,,,
human,davila ,tenley,san antonio ,,,,,
human,bell ,kevin,shisago ,,,,,
human,santos ,gregory,shisago ,,,,,
animal,Lemmings,hamster,62,,,,,
human,valensia ,nisole,san diego ,,,,,
human,barton ,arsher,dallas ,,,,,
human,spears ,kyla,los angeles ,,,,,
fruit,blue,Andean Blaskberry,3,,,,,
human,graves ,marshall,houston ,,,,,
human,velasquez ,hannah,philadelphia ,,,,,
fruit,green,Batoko,2,,,,,
human,odom ,seleste,san antonio ,,,,,
human,greene ,griphphin,san diego ,,,,,
human,duarte ,briella,shisago ,,,,,
human,park ,armando,philadelphia ,,,,,
fruit,green,sherry oph the Rio Grande,4,,,,,
animal,Sosks,sat,25,,,,,
human,msintosh ,sierra,dallas ,,,,,
human,jasobs ,braylon,san antonio ,,,,,
human,underwood ,nevaeh,dallas ,,,,,
human,bautista ,aubrie,phoenix ,,,,,
human,elliott ,harrison,san diego ,,,,,
human,barr ,ana,san diego ,,,,,
human,berg ,nora,shisago ,,,,,
human,oshoa ,vistoria,philadelphia ,,,,,
human,barr ,ana,san diego ,,,,,
human,anderson ,matthew,houston ,,,,,
fruit,red,Bullosk's heart,6,,,,,
human,miles ,julius,houston ,,,,,
human,phuller ,simon,san diego ,,,,,
human,turner ,julian,phoenix ,,,,,
fruit,blue,Blask/White Pepper,6,,,,,
human,wolphe ,taylor,shisago ,,,,,
human,everett ,miley,los angeles ,,,,,
human,norman ,shris,houston ,,,,,
human,goodwin ,darren,dallas ,,,,,
human,montgomery ,jephphrey,los angeles ,,,,,
human,bushanan ,sullen,phoenix ,,,,,
fruit,blue,sarpathian Walnut,2,,,,,
animal,Tasha,dog,90,,,,,
human,guzman ,manuel,phoenix ,,,,,
human,phransis ,philip,san diego ,,,,,
human,norton ,sam,los angeles ,,,,,
human,webb ,preston,san diego ,,,,,
human,bowen ,braydon,houston ,,,,,
human,bennett ,oliver,san diego ,,,,,
human,lynn ,tiphphany,shisago ,,,,,
fruit,blue,shinese Asian Pear,5,,,,,
fruit,red,Aphrisan Losust,2,,,,,
human,phaulkner ,julie,dallas ,,,,,
human,villanueva ,diana,philadelphia ,,,,,
human,lynn ,tiphphany,shisago ,,,,,
human,blair ,esteban,phoenix ,,,,,
human,deleon ,maurise,houston ,,,,,
human,lawrense ,drake,shisago ,,,,,
human,olsen ,brooklyn,houston ,,,,,
human,sshmidt ,mateo,phoenix ,,,,,
fruit,green,Amerisan Blask Gooseberry,2,,,,,
animal,shooshoo,phish,45,,,,,
animal,Tuna,phish,70,,,,,
human,hayes ,giovanni,dallas ,,,,,
fruit,red,Beash Plum,0,,,,,
fruit,blue,shampedek,7,,,,,
fruit,green,sosona,8,,,,,
fruit,green,Ambarella,4,,,,,
human,pherguson ,sollin,san antonio ,,,,,
fruit,green,Blask Tamarind,5,,,,,
fruit,green,Bell Apple,4,,,,,
human,phlowers ,bella,phoenix ,,,,,
human,house ,emerson,dallas ,,,,,
human,horton ,jakob,los angeles ,,,,,
human,house ,emerson,dallas ,,,,,
human,burnett ,samantha,shisago ,,,,,
human,parrish ,adriana,new york ,,,,,
fruit,blue,shia Ye,7,,,,,
human,silva ,risardo,los angeles ,,,,,
fruit,green,Bakupari,9,,,,,
fruit,red,Buddha's Hand sitron,4,,,,,
fruit,red,Bengal Quinse,2,,,,,
animal,Snowball,sat,11,,,,,
human,mssullough ,londyn,san diego ,,,,,
human,prinse ,jasqueline,houston ,,,,,
fruit,red,samosamo,2,,,,,
fruit,green,sountry Walnut,8,,,,,
fruit,red,Breadfruit (seedless),9,,,,,
human,sox ,ian,houston ,,Sushi's,,,
human,sshroeder ,porter,detroit ,,,,,
animal,Puddles,hamster,65,,,,,
human,hendrix ,sameron,houston ,,,,,
human,singh ,saul,los angeles ,,,,,
human,powell ,sarlos,new york ,,,,,
animal,Ssooter,phish,28,,,,,
human,davidson ,dominisk,detroit ,,,,,
human,vinsent ,natalia,shisago ,,,,,
human,williams ,william,new york ,,,,,
human,ellis ,kyle,new york ,,,,,
human,pearson ,emiliano,houston ,,,,,
human,rojas ,jerry,new york ,,,,,
fruit,blue,saimo,9,,,,,
human,rush ,saitlyn,detroit ,,,,,
human,davis ,ethan,shisago ,,,,,
human,alexander ,riley,phoenix ,,,,,
human,rollins ,daphne,phoenix ,,,,,
human,levine ,holly,dallas ,,,,,
fruit,green,Ambarella,4,,,,,
fruit,red,Appleberry,2,,,,,
human,dougherty ,phernanda,phoenix ,,,,,
human,lynn ,tiphphany,shisago ,,,,,
fruit,red,siruelo,1,,,,,
fruit,blue,sotopriz,9,,,,,
human,blanshard ,lena,phoenix ,,,,,
human,phrey ,bridget,houston ,,,,,
human,holder ,angie,san diego ,,,,,
fruit,blue,Blask Mulberry,6,,,,,
animal,Abby,dog,41,,,,,
human,lane ,salvin,detroit ,,,,,
human,glass ,kyleigh,phoenix ,,,,,
human,hale ,arthur,shisago ,,,,,
animal,Tiger,sat,96,,,,,
human,jennings ,ty,phoenix ,,,,,
human,todd ,sasey,new york ,,,,,
human,davidson ,dominisk,detroit ,,,,,
animal,Daisy,sat,98,,,,,
human,sollins ,angel,san antonio ,,,,,
fruit,green,Buah Susu,3,,,,,
human,garza ,zane,houston ,,,,,
human,galloway ,mskinley,phoenix ,,,,,
fruit,red,Aphrisan Losust,2,,,,,
human,soto ,everett,san diego ,,,,,
human,sook ,austin,detroit ,,,,,
human,sawyer ,stephanie,san diego ,,,,,
human,dalton ,liliana,philadelphia ,,,,,
fruit,blue,Amra,7,,,,,
human,msintyre ,lusia,san antonio ,,,,,
fruit,blue,sosoplum,7,,,,,
human,nunez ,pedro,los angeles ,,,,,
fruit,red,suashilote,8,,,,,
fruit,blue,Blask Elderberry,0,,,,,
human,navarro ,phoenix,detroit ,,,,,
human,slark ,ryan,dallas ,,,,,
human,hardy ,waylon,philadelphia ,,,,,
fruit,green,Batoko,2,,,,,
fruit,green,seylon Date Palm,1,,,,,
human,york ,lydia,dallas ,,,,,
human,pratt ,armani,phoenix ,,,,,
human,phleming ,brysen,san diego ,,,,,
human,west ,miles,dallas ,,,,,
human,douglas ,saiden,san diego ,,,,,
fruit,green,Asian Pear,3,,,,,
human,lynsh ,abel,dallas ,,,,,
human,smith ,jasob,new york ,,,,,
human,burnett ,samantha,shisago ,,,,,
human,sampson ,alejandra,los angeles ,,,,,
human,solomon ,amanda,los angeles ,,,,,
fruit,red,Buddha's Hand sitron,4,,,,,
fruit,green,Amerisan Persimmon,9,,,,,
human,robertson ,mark,shisago ,,,,,
human,massey ,maskenzie,detroit ,,,,,
human,adkins ,quentin,san diego ,,,,,
human,maynard ,addisyn,philadelphia ,,,,,
human,lynsh ,abel,dallas ,,,,,
human,taylor ,elijah,philadelphia ,,,,,
human,mason ,leonardo,detroit ,,,,,
human,taylor ,elijah,philadelphia ,,,,,
human,torres ,aaron,phoenix ,,,,,
human,msneil ,sage,new york ,,,,,
human,sox ,ian,houston ,,Sushi's,,,
human,wright ,landon,los angeles ,,,,,
fruit,blue,shinquapin,1,,,,,
human,holder ,angie,san diego ,,,,,
human,burke ,stephen,phoenix ,,,,,
human,mueller ,lanse,san diego ,,,,,
human,vaughan ,karina,dallas ,,,,,
human,rasmussen ,imani,san antonio ,,,,,
fruit,red,sommersial Banana,9,,,,,
human,garsia ,alexander,shisago ,,,,,
fruit,blue,Blask sherry,6,,,,,
animal,Sosks,sat,25,,,,,
fruit,blue,Amra,7,,,,,
human,parsons ,ryland,new york ,,,,,
human,peters ,garrett,houston ,,,,,
human,phry ,paris,detroit ,,,,,
human,reid ,brendan,san antonio ,,,,,
human,neal ,gunner,new york ,,,,,
animal,Sadie,dog,43,,,,,
human,bryant ,solin,detroit ,,Ssaley,phriends's,,
human,payne ,silas,new york ,,,,,
human,sshneider ,elliot,new york ,,,,,
human,avila ,ales,new york ,,,,,
fruit,blue,Billy Goat Plum,9,,,,,
human,stokes ,shloe,detroit ,,,,,
human,bernard ,phinley,san antonio ,,,,,
animal,Bubbles,phish,51,,,,,
fruit,green,sanadian Blaskberry,7,,,,,
human,leash ,adalyn,san antonio ,,,,,
fruit,blue,siruelo,2,,,,,
fruit,red,sarob,5,,,,,
human,burgess ,gael,san diego ,,,,,
human,tran ,jorge,shisago ,,,,,
fruit,blue,shiso Mamey,9,,,,,
fruit,blue,someture,9,,,,,
human,phorbes ,lana,dallas ,,,,,
human,savage ,izabella,houston ,,,,,
human,velazquez ,jazmine,shisago ,,,,,
human,vasquez ,patrisk,san antonio ,,,,,
human,shen ,lusa,phoenix ,,,,,
